('11/18/2012', 'DATETIME', 'Report Date', 'VALID', 1142)
('01/17/2010', 'DATETIME', 'Report Date', 'VALID', 1142)
('01/05/2016', 'DATETIME', 'Report Date', 'VALID', 1143)
('03/01/2009', 'DATETIME', 'Report Date', 'VALID', 1143)
('05/10/2015', 'DATETIME', 'Report Date', 'VALID', 1143)
('03/03/2015', 'DATETIME', 'Report Date', 'VALID', 1144)
('11/29/2014', 'DATETIME', 'Report Date', 'VALID', 1145)
('07/04/2011', 'DATETIME', 'Report Date', 'VALID', 1145)
('07/12/2009', 'DATETIME', 'Report Date', 'VALID', 1145)
('03/14/2016', 'DATETIME', 'Report Date', 'VALID', 1146)
('05/10/2009', 'DATETIME', 'Report Date', 'VALID', 1146)
('02/13/2011', 'DATETIME', 'Report Date', 'VALID', 1146)
('12/20/2014', 'DATETIME', 'Report Date', 'VALID', 1146)
('10/15/2011', 'DATETIME', 'Report Date', 'VALID', 1147)
('05/26/2014', 'DATETIME', 'Report Date', 'VALID', 1147)
('02/20/2012', 'DATETIME', 'Report Date', 'VALID', 1147)
('12/06/2015', 'DATETIME', 'Report Date', 'VALID', 1148)
('07/04/2010', 'DATETIME', 'Report Date', 'VALID', 1149)
('03/23/2014', 'DATETIME', 'Report Date', 'VALID', 1149)
('01/30/2010', 'DATETIME', 'Report Date', 'VALID', 1150)
('12/30/2006', 'DATETIME', 'Report Date', 'VALID', 1151)
('11/17/2014', 'DATETIME', 'Report Date', 'VALID', 1151)
('05/17/2009', 'DATETIME', 'Report Date', 'VALID', 1151)
('03/23/2015', 'DATETIME', 'Report Date', 'VALID', 1152)
('01/05/2015', 'DATETIME', 'Report Date', 'VALID', 1152)
('02/25/2007', 'DATETIME', 'Report Date', 'VALID', 1153)
('05/03/2015', 'DATETIME', 'Report Date', 'VALID', 1153)
('01/28/2015', 'DATETIME', 'Report Date', 'VALID', 1153)
('04/10/2016', 'DATETIME', 'Report Date', 'VALID', 1153)
('06/19/2016', 'DATETIME', 'Report Date', 'VALID', 1154)
